ProductID,Product Label,Category,Price
101,High-performance laptop,Electronics,1400
102,Smartphone with AI support,Electronics,950
103,CRM software for businesses,Software,1800
104,Data analytics platform for large datasets,Data Analytics,1700
105,Document management for businesses,Software,2000
106,High-resolution security camera,Electronics,1200
107,All-in-one printer,Electronics,600
108,Wireless headphones,Electronics,300
109,Home entertainment system,Electronics,2500
110,Intelligent robot vacuum cleaner,Electronics,800
